,Unnamed: 0,In_22_Size,In_22_X,In_22_Y,In_22_XP,In_22_YP,In_8_Size,In_8_X,In_8_Y,In_8_XP,In_8_YP,In_8_Posion,In_8_PosionX,In_8_PosionY,In_8_PosionXB,In_8_PosionYB,In_3_Size,In_3_X,In_3_Y,In_3_XP,In_3_XP.1,In_3_P,In_3_PX,In_3_PY,In_3_PXB,In_3_PYB,In_3_124_Size,In_3_124_X,In_3_124_Y,In_3_124_XP,In_3_124_YP,In_3_124_P,In_3_124_PX,In_3_124_PY,In_3_124_PXB,In_3_124_PYB,In_9_Size,In_9_X,In_9_Y,In_9_XP,In_9_YP,In_9_P,In_9_PX,In_9_PY,In_9_PXB,In_9_PYB,decisionP
count,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0,2974.0
mean,1486.5,9.468806221803729e-14,1.4210854715202004e-14,7.105427357601002e-15,-9.094947017729282e-13,4.547473508864641e-13,1.5076694282920432e-13,1.3838142318502019e-14,-2.118917758880019e-13,-3.189175741096208e-13,3.9895517211891245e-13,-1.529076499281991e-16,-1.9113456241024887e-17,1.2040521759033628e-13,-9.556728120512444e-18,-1.4803371858673775e-13,-3.808356156024209e-15,-5.409108116210043e-15,-6.553144039516588e-13,-6.576940292536663e-14,-6.80066329783786e-13,-1.1468073744614933e-16,1.0703535494973937e-15,-1.160377928392621e-13,1.4870268955517364e-14,-8.075435261833015e-14,8.063011515276349e-14,6.45920140209195e-13,-1.690394069956241e-13,-6.990173216467622e-13,-4.512687018505976e-14,-3.4404221233844795e-16,-7.043308624817671e-15,-2.1502638271153e-14,2.3289746429688824e-14,-8.577163488159918e-14,-1.1358171371229039e-13,4.560566226389743e-13,-3.669783598276779e-15,3.236385978011539e-13,2.1471101068355308e-13,-2.198047467717862e-16,-1.357055393112767e-15,-2.186579393973247e-14,9.955243683137813e-14,-4.083589925894967e-14,0.7333557498318762
std,858.6641757210247,1.0001681661493433,0.0,0.0,0.0,0.0,1.0001681661493433,1.0001681661493433,1.0001681661493431,1.0001681661493433,1.0001681661493433,1.0001681661493433,1.0001681661493433,1.0001681661493433,1.0001681661493433,1.0001681661493433,1.0001681661493433,1.0001681661493433,1.0001681661493433,1.0001681661493433,1.0001681661493433,1.0001681661493433,1.0001681661493433,1.0001681661493433,1.0001681661493433,1.0001681661493433,1.0001681661493433,1.0001681661493433,1.0001681661493433,1.0001681661493433,1.0001681661493433,1.0001681661493431,1.0001681661493431,1.0001681661493433,1.0001681661493431,1.0001681661493433,1.0001681661493433,1.0001681661493431,1.0001681661493433,1.0001681661493433,1.0001681661493433,1.0001681661493431,1.0001681661493431,1.0001681661493433,1.0001681661493433,1.0001681661493431,0.44227917391773963
min,0.0,-6.355177189450822,1.4210854715202004e-14,7.105427357601002e-15,-9.094947017729282e-13,4.547473508864641e-13,-6.3822409260421225,-14.815618085712192,-6.820867743882532,-14.843517007167176,-6.79880948314495,-1.3685634214251476,-9.8678652572228,-4.784822875414123,-9.875364625303972,-4.812880019783826,-5.612382304427049,-10.679383873008694,-5.958633848132762,-10.650244984632696,-5.995284144615637,-1.539957063958558,-4.617148620960819,-4.597150191506145,-4.586856271000617,-4.578349814844396,-6.6762787263417005,-4.069056949965281,-2.577490829441931,-4.077202038497645,-2.602402574132385,-1.8502891553316576,-10.272347250595926,-5.344081182502604,-10.246213640884498,-5.358276528592075,-5.62771422269303,-11.29683632173456,-2.765159903888388,-11.292527099483497,-2.772901591058625,-1.3688335005010703,-7.382192233533773,-3.5630877826225054,-7.393909030233,-3.539417449235819,0.0
25%,743.25,-0.4084841375084239,1.4210854715202004e-14,7.105427357601002e-15,-9.094947017729282e-13,4.547473508864641e-13,-0.597809763049892,-0.555632080320415,-0.6263609629620307,-0.5453430568052295,-0.6215210461441829,-0.624878806422509,-0.6352988463617295,-0.675047262392074,-0.6075467096746574,-0.6407560022447987,-0.6327707342993946,-0.5149269398696343,-0.6457409802647367,-0.4893143314869186,-0.6316695388857878,-0.6497720557443822,-0.591049364114122,-0.6283778356038591,-0.6189203664970762,-0.6241602167314123,-0.6563599232942041,-0.4968390168070435,-0.7163857105731662,-0.5087515824059964,-0.697479722199588,-0.6420306653814029,-0.6764442379183914,-0.5539354979599744,-0.6962493899818243,-0.5498937991350099,-0.920551303439846,-0.5665293024972187,-0.5105860699306808,-0.5620896825731148,-0.520875602844953,-0.7148660849166093,-0.656292136899507,-0.637929750528453,-0.6409314797576073,-0.6475720445299575,0.0
50%,1486.5,0.108619606138829,1.4210854715202004e-14,7.105427357601002e-15,-9.094947017729282e-13,4.547473508864641e-13,-0.1846361085504993,0.0357959106861567,-0.043348560051677,0.05689808534792895,-0.0129797705480371,-0.1551832601050529,0.0241701829854898,-0.0481323383717489,0.0267515824669273,-0.0552128542386897,0.0167438183258765,0.1105781021693334,0.0626447354508322,0.0834917557726388,0.0338923107165946,-0.1834846704893376,-0.0259828017495962,-0.0495985337014699,-0.037123857292388304,-0.0776661423622995,0.0125199437111062,-0.0097183895594516,-0.0339805003210578,0.0175339262968529,-0.0245050467098806,-0.1353416212087154,0.0416165317376994,0.0143868713925042,0.026008683398316648,-0.0143580277892802,0.0881264649715719,0.0333015246651348,0.0942995928386601,0.01252578459109825,0.09390629256174596,-0.2425562847722761,-0.1138808387839585,-0.0256873717180363,-0.09013175637968796,-0.01533550231338345,1.0
75%,2229.75,0.5223026010565212,1.4210854715202004e-14,7.105427357601002e-15,-9.094947017729282e-13,4.547473508864641e-13,0.4351243731984978,0.6272239016931954,0.6125403932222767,0.6399006305625025,0.609613079795355,0.3927948772653124,0.6103648757385738,0.5787825856485762,0.6330701212506605,0.5478862611680093,0.6662583709512437,0.579706883698837,0.6293533080235895,0.6131054811890252,0.6241025820797906,0.4099720016534462,0.6097170809104482,0.5291807682009192,0.6346627594511609,0.4997846911268161,0.4584398550480129,0.5585890088978028,0.7104615472263159,0.5483330328440446,0.6944378443184921,0.4882756639268998,0.6943990496069625,0.5015203308375272,0.6991648180992506,0.5142540095816625,0.7605783105790843,0.6331323518265413,0.6441956499014488,0.6296321633423432,0.645905421461222,0.5476543423922811,0.5370127189548539,0.5865550070923804,0.5155669536656678,0.5677242845253995,1.0
max,2973.0,9.675038863611446,1.4210854715202004e-14,7.105427357601002e-15,-9.094947017729282e-13,4.547473508864641e-13,5.186621399941972,4.7672198387424665,9.357726436874476,4.73699119893533,9.395089967973677,19.493747094175195,6.472311803269413,14.719196982995332,6.466984520408122,14.71658465736506,6.295384493704266,4.4891133964448855,4.525474744459974,4.530275854233757,4.495125820950294,12.406274731396865,5.695316142190553,10.86452544502978,5.714918248998823,10.870605498951882,4.471719057079677,5.0238614253450224,10.326171328049114,4.995731442577814,10.354198657666412,12.648812724071398,2.587468351427692,3.9926434568599993,2.5938223829977205,3.98936640104555,4.96340234562656,3.432342878584191,7.242948334656475,3.4290915244349494,7.248695592552131,14.14472685808587,2.7608990412290653,11.266783170784803,2.7710505963843057,11.284221941067775,1.0
